Cell 1;Cell 2;Cell 3;Cell 4;Time (s);Time (Minute);MIN;MAX;Average;Delta Volatage;Ah;Total Voltage;Wh
3,134;3,132;2,715;2,934;0;0;2,715;3,134;2,979;0,419;0;11,915;0
3,134;3,132;2,714;2,934;1;0,016666667;2,714;3,134;2,979;0,42;0,001388889;11,914;0,016547222
3,132;3,132;2,714;2,934;2;0,033333333;2,714;3,132;2,978;0,418;0,002777778;11,912;0,033088889
3,132;3,132;2,714;2,934;3;0,05;2,714;3,132;2,978;0,418;0,004166667;11,912;0,049633333
3,132;3,132;2,714;2,934;4;0,066666667;2,714;3,132;2,978;0,418;0,005555556;11,912;0,066177778
3,134;3,132;2,714;2,936;5;0,083333333;2,714;3,134;2,979;0,42;0,006944444;11,916;0,08275
3,132;3,132;2,714;2,936;6;0,1;2,714;3,132;2,979;0,418;0,008333333;11,914;0,099283333
3,132;3,132;2,715;2,936;7;0,116666667;2,715;3,132;2,979;0,417;0,009722222;11,915;0,115840278
3,132;3,132;2,715;2,934;8;0,133333333;2,715;3,132;2,978;0,417;0,011111111;11,913;0,132366667
3,132;3,132;2,715;2,934;9;0,15;2,715;3,132;2,978;0,417;0,0125;11,913;0,1489125
3,132;3,132;2,715;2,934;10;0,166666667;2,715;3,132;2,978;0,417;0,013888889;11,913;0,165458333
3,132;3,132;2,714;2,934;11;0,183333333;2,714;3,132;2,978;0,418;0,015277778;11,912;0,181988889
3,134;3,132;2,715;2,934;12;0,2;2,715;3,134;2,979;0,419;0,016666667;11,915;0,198583333
3,132;3,132;2,714;2,934;13;0,216666667;2,714;3,132;2,978;0,418;0,018055556;11,912;0,215077778
3,132;3,132;2,714;2,936;14;0,233333333;2,714;3,132;2,979;0,418;0,019444444;11,914;0,231661111
3,132;3,132;2,714;2,934;15;0,25;2,714;3,132;2,978;0,418;0,020833333;11,912;0,248166667
3,132;3,132;2,714;2,934;16;0,266666667;2,714;3,132;2,978;0,418;0,022222222;11,912;0,264711111
3,132;3,132;2,714;2,936;17;0,283333333;2,714;3,132;2,979;0,418;0,023611111;11,914;0,281302778
3,132;3,132;2,714;2,934;18;0,3;2,714;3,132;2,978;0,418;0,025;11,912;0,2978
